,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,roadwork_id,loaddatetimeutc,road,type,roadwork_from,roadwork_to,roadwork_label,roadwork_reason,roadwork_start,roadwork_stop,radar_codedirection,roadwork_fromloc_lat,roadwork_fromloc_lon,roadwork_toloc_lat,roadwork_toloc_lon,roadwork_segmentid,segmentstart,segmentend,roadwork_afrc,roadwork_category,roadwork_type
1748,1748,1748,1740,257413402.0,2020-11-10 03:54:00,A2,a,Maastricht-Noord,Maastricht-Noord,closed,Oprit dicht. Van 9 november 2020 20:00 uur tot 10 november 2020 05:00 uur.,2020-11-09 19:00:00,2020-11-10 04:00:00,1.0,50.87648,5.73428,50.87648,5.73428,3102.0,Maastricht,Eindhoven,0.0,roadworks,a
1749,1749,1749,1749,257413509.0,2020-11-10 04:54:00,N7,n,Groningen-Zuidoost,Groningen-Zuidoost,closed,De oprit is dicht. Van 9 november 2020 22:00 uur tot 10 november 2020 06:00 uur.,2020-11-09 21:00:00,2020-11-10 05:00:00,1.0,53.21617,6.60687,53.21617,6.60687,3412.0,Groningen,Duitse grens,3.0,roadworks,n
1750,1750,1750,1750,2574134820.0,2020-11-10 13:54:00,N48,n,de aansluiting met de N36,de aansluiting met de N36,closed,Dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 20:00 uur en 05:00 uur.,2020-11-09 19:00:00,2020-11-11 04:00:00,2.0,52.55052,6.41776,52.55052,6.41776,5390.0,Hoogeveen,Ommen,3.0,roadworks,n
1751,1751,1751,1751,257449874.0,2020-11-10 22:54:00,A27,a,knp. Sint Annabosch,knp. Sint Annabosch,closed,Dicht. Van 10 november 2020 21:00 uur tot 10 november 2020 23:59 uur.,2020-11-10 20:00:00,2020-11-10 22:59:00,0.0,51.55451,4.84305,51.55451,4.84305,3170.0,Gorinchem,Breda,0.0,roadworks,a
1752,1752,1752,1752,2574489180.0,2020-11-11 00:59:00,A6,a,de Ketelbrug,de Ketelbrug,,Wegwerkzaamheden. Van 10 november 2020 20:00 uur tot 11 november 2020 02:00 uur.,2020-11-10 19:00:00,2020-11-11 01:00:00,2.0,52.61205,5.64436,52.61205,5.64436,3371.0,Emmeloord,Lelystad,0.0,roadworks,a
1753,1753,1753,1753,257448918.0,2020-11-11 00:59:00,A6,a,de Ketelbrug,de Ketelbrug,,Wegwerkzaamheden. Van 10 november 2020 20:00 uur tot 11 november 2020 02:00 uur.,2020-11-10 19:00:00,2020-11-11 01:00:00,2.0,52.61205,5.64436,52.61205,5.64436,3371.0,Lelystad,Emmeloord,0.0,roadworks,a
1754,1754,1754,1754,257448670.0,2020-11-11 01:14:00,A58,a,Oirschot,Oirschot,closed,De oprit is dicht. Van 10 november 2020 23:15 uur tot 11 november 2020 02:15 uur.,2020-11-10 22:15:00,2020-11-11 01:15:00,1.0,51.49392,5.30861,51.49392,5.30861,3355.0,Tilburg,Eindhoven,0.0,roadworks,a
1755,1755,1755,1755,257448750.0,2020-11-11 01:59:00,A65,a,Vught-Centrum,Vught-Centrum,closed,De op- en afrit is dicht. Van 10 november 2020 23:00 uur tot 11 november 2020 03:00 uur.,2020-11-10 22:00:00,2020-11-11 02:00:00,1.0,51.6652,5.29956,51.6652,5.29956,3383.0,Tilburg,'s-Hertogenbosch,0.0,roadworks,a
1756,1756,1756,1772,257413854.0,2020-11-11 03:59:00,A28,a,Zwolle-Zuid,Zwolle-Zuid,closed,De oprit is dicht. Van 9 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-09 20:00:00,2020-11-11 04:00:00,0.0,52.50657,6.06715,52.50657,6.06715,3191.0,Zwolle,Amersfoort,0.0,roadworks,a
1757,1757,1757,1773,257450040.0,2020-11-11 03:59:00,A27,a,Nieuwegein,Nieuwegein,closed,De afrit is dicht. Van 10 november 2020 20:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 19:00:00,2020-11-11 04:00:00,0.0,52.01349,5.12029,52.01349,5.12029,3173.0,Utrecht,Gorinchem,0.0,roadworks,a
1758,1758,1758,1774,257450130.0,2020-11-11 03:59:00,A27,a,afrit De Bilt,afrit De Bilt,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,1.0,52.1025,5.1539,52.1025,5.1539,3173.0,Gorinchem,Utrecht,0.0,roadworks,a
1759,1759,1759,1775,257413980.0,2020-11-11 03:59:00,A22,a,knp. Beverwijk,knp. Beverwijk,closed,De oprit is dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 20:00 uur en 05:00 uur.,2020-11-09 19:00:00,2020-11-11 04:00:00,1.0,52.48877,4.6949,52.48877,4.6949,3463.0,Velsen,Beverwijk,0.0,roadworks,a
1760,1760,1760,1776,257449566.0,2020-11-11 03:59:00,A20,a,Schiedam,Schiedam,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,0.0,51.92589,4.40387,51.92589,4.40387,3123.0,Gouda,Hoek van Holland,0.0,roadworks,a
1761,1761,1761,1777,257449467.0,2020-11-11 03:59:00,A20,a,Rotterdam-Crooswijk,Rotterdam-Crooswijk,closed,De oprit is dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 21:00 uur en 05:00 uur.,2020-11-09 20:00:00,2020-11-11 04:00:00,0.0,51.94183,4.48195,51.94183,4.48195,3123.0,Gouda,Hoek van Holland,0.0,roadworks,a
1762,1762,1762,1771,257449246.0,2020-11-11 03:59:00,A16,a,afrit Dordrecht-Centrum,afrit Dordrecht-Centrum,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,1.0,51.80352,4.65023,51.80352,4.65023,3065.0,Breda,Rotterdam,0.0,roadworks,a
1763,1763,1763,1779,257449736.0,2020-11-11 03:59:00,A20,a,Vlaardingen,Vlaardingen,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,1.0,51.92223,4.34787,51.92223,4.34787,3123.0,Hoek van Holland,Gouda,0.0,roadworks,a
1764,1764,1764,1780,257449678.0,2020-11-11 03:59:00,A20,a,Rotterdam-Noord,Rotterdam-Noord,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,1.0,51.93836,4.46063,51.93836,4.46063,3123.0,Hoek van Holland,Gouda,0.0,roadworks,a
1765,1765,1765,1781,257413944.0,2020-11-11 03:59:00,A22,a,Beverwijk-Oost,Beverwijk-Oost,closed,De oprit is dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 20:00 uur en 05:00 uur.,2020-11-09 19:00:00,2020-11-11 04:00:00,1.0,52.4714,4.65198,52.4714,4.65198,3463.0,Velsen,Beverwijk,0.0,roadworks,a
1766,1766,1766,1782,257450045.0,2020-11-11 03:59:00,A27,a,Hagestein,Hagestein,closed,De afrit is dicht. Van 10 november 2020 20:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 19:00:00,2020-11-11 04:00:00,0.0,51.99284,5.11142,51.99284,5.11142,3173.0,Utrecht,Gorinchem,0.0,roadworks,a
1767,1767,1767,1783,257448666.0,2020-11-11 03:59:00,A2,a,Maarheeze,Maarheeze,closed,De afrit is dicht. Van 10 november 2020 20:30 uur tot 11 november 2020 05:00 uur.,2020-11-10 19:30:00,2020-11-11 04:00:00,0.0,51.3123,5.60601,51.3123,5.60601,3102.0,Eindhoven,Maastricht,0.0,roadworks,a
1768,1768,1768,1778,257449523.0,2020-11-11 03:59:00,A20,a,Rotterdam-Prins Alexander,Rotterdam-Prins Alexander,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,0.0,51.9558,4.5627,51.9558,4.5627,3123.0,Gouda,Hoek van Holland,0.0,roadworks,a
1769,1769,1769,1770,257449239.0,2020-11-11 03:59:00,A15,a,de Thomassentunnel,de Thomassentunnel,closed,Dicht. Van 10 november 2020 20:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 19:00:00,2020-11-11 04:00:00,0.0,51.90033,4.22673,51.90033,4.22673,3059.0,Rotterdam,Europoort,0.0,roadworks,a
1770,1770,1770,1756,257449675.0,2020-11-11 03:59:00,A73,a,Vierlingsbeek,Vierlingsbeek,closed,De op- en afrit is dicht. Van 10 november 2020 20:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 19:00:00,2020-11-11 04:00:00,0.0,51.58449,5.98037,51.58449,5.98037,3410.0,Nijmegen,Maasbracht,0.0,roadworks,a
1771,1771,1771,1768,257449085.0,2020-11-11 03:59:00,A12,a,Bleiswijk,Bleiswijk,closed,De afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,1.0,52.03614,4.54206,52.03614,4.54206,3020.0,Den Haag,Utrecht,0.0,roadworks,a
1772,1772,1772,1769,257413553.0,2020-11-11 03:59:00,A12,a,Nootdorp,Nootdorp,closed,Oprit dicht. Van 10 november 2020 22:30 uur tot 11 november 2020 05:00 uur.,2020-11-10 21:30:00,2020-11-11 04:00:00,1.0,52.05404,4.40089,52.05404,4.40089,3020.0,Den Haag,Utrecht,0.0,roadworks,a
1773,1773,1773,1757,257413482.0,2020-11-11 03:59:00,N48,n,de aansluiting met de N36,de aansluiting met de N36,closed,Dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 20:00 uur en 05:00 uur.,2020-11-09 19:00:00,2020-11-11 04:00:00,0.0,52.55052,6.41776,52.55052,6.41776,5390.0,Hoogeveen,Ommen,3.0,roadworks,n
1774,1774,1774,1758,257448388.0,2020-11-11 03:59:00,A29,a,afrit Oud-Beijerland,afrit Oud-Beijerland,closed,Dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 22:45 uur en 05:00 uur.,2020-11-09 21:45:00,2020-11-11 04:00:00,0.0,51.81528,4.48713,51.81528,4.48713,3210.0,Rotterdam,Bergen op Zoom,0.0,roadworks,a
1775,1775,1775,1760,257448581.0,2020-11-11 03:59:00,A58,a,Bavel,Bavel,closed,De afrit is dicht. Van 10 november 2020 22:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 21:00:00,2020-11-11 04:00:00,1.0,51.55604,4.85225,51.55604,4.85225,3354.0,Breda,Tilburg,0.0,roadworks,a
1776,1776,1776,1761,257520797.0,2020-11-11 03:59:00,A58,a,Etten-Leur,Etten-Leur,closed,De op- en afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,1.0,51.56702,4.66154,51.56702,4.66154,3352.0,Bergen op Zoom,Breda,0.0,roadworks,a
1777,1777,1777,1759,257449737.0,2020-11-11 03:59:00,A76,a,knp. Ten Esschen,knp. Kunderberg,closed,Dicht. Van 10 november 2020 22:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 21:00:00,2020-11-11 04:00:00,1.0,50.90683,5.92285,50.87662,5.95467,3421.0,Geleen,Heerlen,0.0,roadworks,a
1778,1778,1778,1763,257449677.0,2020-11-11 03:59:00,A73,a,Boxmeer,Boxmeer,closed,De op- en afrit is dicht. Van 10 november 2020 20:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 19:00:00,2020-11-11 04:00:00,0.0,51.63897,5.92247,51.63897,5.92247,3410.0,Nijmegen,Maasbracht,0.0,roadworks,a
1779,1779,1779,1764,257448451.0,2020-11-11 03:59:00,A44,a,Kaag-Dorp,Kaag-Dorp,closed,De oprit is dicht. Van 10 november 2020 23:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 22:00:00,2020-11-11 04:00:00,0.0,52.22765,4.57505,52.22765,4.57505,3321.0,Amsterdam,Den Haag,0.0,roadworks,a
1780,1780,1780,1765,257521280.0,2020-11-11 03:59:00,A28,a,Zwolle-Zuid,Zwolle-Zuid,closed,De op- en afrit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 20:00:00,2020-11-11 04:00:00,0.0,52.50657,6.06715,52.50657,6.06715,3191.0,Zwolle,Amersfoort,0.0,roadworks,a
1781,1781,1781,1766,257450631.0,2020-11-11 03:59:00,A2,a,Urmond,Urmond,closed,De afrit is dicht. Van 10 november 2020 23:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 22:00:00,2020-11-11 04:00:00,0.0,50.99055,5.78491,50.99055,5.78491,3102.0,Eindhoven,Maastricht,0.0,roadworks,a
1782,1782,1782,1767,257448742.0,2020-11-11 03:59:00,A2,a,Nieuwegein-Zuid,Nieuwegein-Zuid,closed,De afrit is dicht. Van 10 november 2020 22:00 uur tot 11 november 2020 05:00 uur.,2020-11-10 21:00:00,2020-11-11 04:00:00,0.0,52.00381,5.0748,52.00381,5.0748,3104.0,Utrecht,'s-Hertogenbosch,0.0,roadworks,a
1783,1783,1783,1762,257413639.0,2020-11-11 03:59:00,A67,a,Velden,Velden,closed,De oprit is dicht. Van 9 november 2020 tot 11 november 2020 dagelijks tussen 20:00 uur en 05:00 uur.,2020-11-09 19:00:00,2020-11-11 04:00:00,0.0,51.39587,6.17226,51.39587,6.17226,3392.0,Venlo,Eindhoven,0.0,roadworks,a
1784,1784,1784,1784,257448824.0,2020-11-11 04:24:00,A4,a,Hoogmade,Zoeterwoude-Rijndijk,,Wegwerkzaamheden. Van 10 november 2020 20:00 uur tot 11 november 2020 05:30 uur.,2020-11-10 19:00:00,2020-11-11 04:30:00,0.0,52.15781,4.54839,52.13826,4.50707,3300.0,Amsterdam,Den Haag,0.0,roadworks,a
1785,1785,1785,1785,257521132.0,2020-11-11 04:54:00,A28,a,Staphorst,Staphorst,closed,De oprit is dicht. Van 10 november 2020 21:00 uur tot 11 november 2020 06:00 uur.,2020-11-10 20:00:00,2020-11-11 05:00:00,1.0,52.6432,6.20213,52.6432,6.20213,3192.0,Zwolle,Groningen,0.0,roadworks,a
1786,1786,1786,1786,257521021.0,2020-11-11 04:54:00,A28,a,Assen-West,Assen-West,closed,De oprit is dicht. Van 10 november 2020 20:00 uur tot 11 november 2020 06:00 uur.,2020-11-10 19:00:00,2020-11-11 05:00:00,0.0,52.99431,6.52558,52.99431,6.52558,3193.0,Groningen,Zwolle,0.0,roadworks,a
1787,1787,1787,1793,257413892.0,2020-11-12 03:59:00,A28,a,Zwolle-Centrum,Zwolle-Centrum,closed,De oprit is dicht. Van 9 november 2020 20:00 uur tot 12 november 2020 05:00 uur.,2020-11-09 19:00:00,2020-11-12 04:00:00,0.0,52.51722,6.08421,52.51722,6.08421,3191.0,Zwolle,Amersfoort,0.0,roadworks,a
1788,1788,1788,1796,257521529.0,2020-11-12 03:59:00,A73,a,Vierlingsbeek,Vierlingsbeek,closed,De op- en afrit is dicht. Van 11 november 2020 20:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 19:00:00,2020-11-12 04:00:00,1.0,51.58449,5.98037,51.58449,5.98037,3410.0,Maasbracht,Nijmegen,0.0,roadworks,a
1789,1789,1789,1794,257520902.0,2020-11-12 03:59:00,A58,a,Tilburg-Centrum West,Tilburg-Centrum West,closed,Oprit dicht. Van 11 november 2020 21:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 20:00:00,2020-11-12 04:00:00,1.0,51.53947,5.04758,51.53947,5.04758,3354.0,Breda,Tilburg,0.0,roadworks,a
1790,1790,1790,1792,257520671.0,2020-11-12 03:59:00,A44,a,afrit Oude Wetering,afrit Oude Wetering,closed,Oprit dicht. Van 11 november 2020 23:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 22:00:00,2020-11-12 04:00:00,0.0,52.23138,4.62743,52.23138,4.62743,3321.0,Amsterdam,Den Haag,0.0,roadworks,a
1791,1791,1791,1795,257582453.0,2020-11-12 03:59:00,A58,a,Industrieterrein Vosdonk,Industrieterrein Vosdonk,closed,De op- en afrit is dicht. Van 11 november 2020 21:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 20:00:00,2020-11-12 04:00:00,0.0,51.55503,4.61061,51.55503,4.61061,3352.0,Breda,Bergen op Zoom,0.0,roadworks,a
1792,1792,1792,1790,257449524.0,2020-11-12 03:59:00,A67,a,afrit Helden,afrit Helden,closed,Oprit dicht. Van 11 november 2020 20:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 19:00:00,2020-11-12 04:00:00,1.0,51.37751,5.98441,51.37751,5.98441,3392.0,Eindhoven,Venlo,0.0,roadworks,a
1793,1793,1793,1789,257582387.0,2020-11-12 03:59:00,A10,a,Amsterdam-Overamstel,Amsterdam-Overamstel,closed,De oprit is dicht. Van 11 november 2020 23:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 22:00:00,2020-11-12 04:00:00,1.0,52.33237,4.92894,52.33237,4.92894,3016.0,knp. Watergraafsmeer,knp. Amstel,0.0,roadworks,a
1794,1794,1794,1788,257520672.0,2020-11-12 03:59:00,A15,a,de Botlektunnel,de Botlektunnel,closed,Dicht. Van 11 november 2020 22:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 21:00:00,2020-11-12 04:00:00,0.0,51.87055,4.33089,51.87055,4.33089,3059.0,Rotterdam,Europoort,0.0,roadworks,a
1795,1795,1795,1791,257521020.0,2020-11-12 03:59:00,A58,a,Ulvenhout,Ulvenhout,closed,Oprit dicht. Van 11 november 2020 21:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 20:00:00,2020-11-12 04:00:00,0.0,51.53705,4.79833,51.53705,4.79833,3354.0,Tilburg,Breda,0.0,roadworks,a
1796,1796,1796,1787,257266406.0,2020-11-12 03:59:00,A10,a,de Coentunnel,de Coentunnel,,Wegwerkzaamheden. Van 11 november 2020 22:00 uur tot 12 november 2020 05:00 uur.,2020-11-11 21:00:00,2020-11-12 04:00:00,1.0,52.415,4.86534,52.415,4.86534,3014.0,knp. De Nieuwe Meer,knp. Coenplein,0.0,roadworks,a
1797,1797,1797,1797,257450547.0,2020-11-12 04:54:00,N57,n,Burgh-Haamstede,Burgh-Haamstede,closed,De afrit is dicht. Van 9 november 2020 tot 12 november 2020 dagelijks tussen 19:00 uur en 06:00 uur.,2020-11-09 18:00:00,2020-11-12 05:00:00,1.0,51.69781,3.7526,51.69781,3.7526,5410.0,Middelburg,Brouwersdam,3.0,roadworks,n
1798,1798,1798,1798,257582972.0,2020-11-12 23:59:00,A67,a,Industrieterrein Venlo,Industrieterrein Venlo,closed,De oprit is dicht. Van 12 november 2020 21:00 uur tot 13 november 2020 01:00 uur.,2020-11-12 20:00:00,2020-11-13 00:00:00,0.0,51.3945,6.08431,51.3945,6.08431,3392.0,Venlo,Eindhoven,0.0,roadworks,a
1799,1799,1799,1799,257583325.0,2020-11-13 00:59:00,A37,a,Hoogeveen-Oost,Hoogeveen-Oost,closed,De afrit is dicht. Van 12 november 2020 20:00 uur tot 13 november 2020 02:00 uur.,2020-11-12 19:00:00,2020-11-13 01:00:00,1.0,52.71606,6.51749,52.71606,6.51749,5151.0,Hoogeveen,Duitse grens,0.0,roadworks,a
1800,1800,1800,1800,257583066.0,2020-11-13 01:54:00,A67,a,Industrieterrein Venlo,Industrieterrein Venlo,closed,De oprit is dicht. Van 12 november 2020 23:00 uur tot 13 november 2020 03:00 uur.,2020-11-12 22:00:00,2020-11-13 02:00:00,1.0,51.3945,6.08431,51.3945,6.08431,3392.0,Eindhoven,Venlo,0.0,roadworks,a
1801,1801,1801,1801,257583157.0,2020-11-13 02:54:00,A28,a,Amersfoort-Vathorst,Amersfoort-Vathorst,closed,De afrit is dicht. Van 12 november 2020 21:00 uur tot 13 november 2020 04:00 uur.,2020-11-12 20:00:00,2020-11-13 03:00:00,0.0,52.21074,5.44369,52.21074,5.44369,3191.0,Zwolle,Amersfoort,0.0,roadworks,a
1802,1802,1802,1817,257582319.0,2020-11-13 03:59:00,A8,a,knp. Zaandam,Zaanstad-Westerkoog,closed,Dicht. Van 12 november 2020 21:00 uur tot 13 november 2020 05:00 uur.,2020-11-12 20:00:00,2020-11-13 04:00:00,0.0,52.45554,4.84151,52.46552,4.80054,3452.0,Amsterdam,Zaanstad,0.0,roadworks,a
1803,1803,1803,1816,257582161.0,2020-11-13 03:59:00,A7,a,Tjalleberd,Tjalleberd,closed,De oprit is dicht. Van 12 november 2020 19:00 uur tot 13 november 2020 05:00 uur.,2020-11-12 18:00:00,2020-11-13 04:00:00,0.0,52.98502,5.95549,52.98502,5.95549,3403.0,Groningen,Heerenveen,0.0,roadworks,a
1804,1804,1804,1815,257413461.0,2020-11-13 03:59:00,A4,a,Schiphol,Schiphol,closed,Oprit dicht. Van 9 november 2020 tot 13 november 2020 dagelijks tussen 20:45 uur en 05:00 uur.,2020-11-09 19:45:00,2020-11-13 04:00:00,1.0,52.30818,4.74771,52.30818,4.74771,3300.0,Den Haag,Amsterdam,0.0,roadworks,a
1805,1805,1805,1814,257582075.0,2020-11-13 03:59:00,A1,a,afrit Rijssen,afrit Rijssen,closed,De afrit is dicht. Van 12 november 2020 19:00 uur tot 13 november 2020 05:00 uur.,2020-11-12 18:00:00,2020-11-13 04:00:00,0.0,52.28422,6.55788,52.28422,6.55788,3002.0,Hengelo,Apeldoorn,0.0,roadworks,a
